"ipm_id","env_variable","vr_expr_name","env_range","env_function","model_type"
"bbbbb8","pta","pta",NA,NA,NA
"bbbbb8","lambda","lambda",NA,NA,NA
"bbbbb8","rec_int","rec_int",NA,NA,NA
"bbbbb8","t_rec","t_rec",NA,NA,NA
"bbbbb8","ba_rec","ba_rec",NA,NA,NA
"bbbbb9","prec_s","prec_s",NA,NA,NA
"bbbbb9","t_s","t_s",NA,NA,NA
"bbbbb9","ba_s","ba_s",NA,NA,NA
"bbbbb9","pa_s","pa_s",NA,NA,NA
"bbbbb9","ta_s","ta_s",NA,NA,NA
"bbbbb9","pta_s","pta_s",NA,NA,NA
"bbbbb9","t_g","t_g",NA,NA,NA
"bbbbb9","ba_g","ba_g",NA,NA,NA
"bbbbb9","ta_g","ta_g",NA,NA,NA
"bbbbb9","lambda","lambda",NA,NA,NA
"bbbbb9","prec_rec","prec_rec",NA,NA,NA
"bbbbb9","t_rec","t_rec",NA,NA,NA
"bbbbb9","ba_rec","ba_rec",NA,NA,NA
