"ipm_id"	"kernel_id"	"formula"	"model_family"	"domain_start"	"domain_end"
"aaaa85"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa85"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa86"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa86"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa87"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa87"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa88"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa88"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa89"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa89"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa90"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa90"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa91"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa91"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa92"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa92"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa93"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa93"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa94"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa94"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa95"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa95"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa96"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa96"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa97"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa97"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa98"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa98"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaaa99"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaaa99"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa100"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa100"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa101"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa101"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa102"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa102"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa103"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa103"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa104"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa104"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa105"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa105"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa106"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa106"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa107"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa107"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa108"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa108"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa109"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
