"ipm_id"	"expression"	"n_bins"	"comment"
"ddddd4"	"n_size"	300	NA
"ddddd5"	"n_svl"	100	NA
"ddddd6"	"n_svl"	100	NA
"ddddd7"	"n_wt"	200	NA
"ddddd8"	"n_wt"	200	NA
"ddddd9"	"n_svl"	100	NA
"dddd10"	"n_len"	370	NA
"dddd11"	"n_len"	370	NA
"dddd12"	"n_len"	370	NA
"dddd13"	"n_len"	370	NA
"dddd14"	"n_len"	370	NA
"dddd15"	"n_len"	370	NA
"dddd16"	"n_len"	370	NA
"dddd17"	"n_len"	370	NA
"dddd18"	"n_len"	370	NA
"dddd19"	"n_len"	370	NA
"dddd20"	"n_len"	370	NA
"dddd21"	"n_len"	370	NA
"dddd22"	"n_sl"	200	NA
"dddd23"	"n_logsize"	200	NA
"dddd24"	"n_sl"	200	NA
"dddd25"	"n_size"	69	NA
"dddd26"	"n_len"	300	NA
"dddd27"	"n_svl"	300	NA
"dddd28"	"n_svl"	300	NA
"dddd29"	"n_svl"	300	NA
"dddd30"	"n_svl"	1000	NA
"dddd31"	"n_svl"	1000	NA
"dddd32"	"n_svl"	1000	NA
