"ipm_id","kernel_id","formula","model_family","domain_start","domain_end"
"aaaa95","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa96","K","K = P + F","IPM","size","size"
"aaaa96","P","P = s * g * d_size","CC","size","size"
"aaaa96","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa97","K","K = P + F","IPM","size","size"
"aaaa97","P","P = s * g * d_size","CC","size","size"
"aaaa97","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa98","K","K = P + F","IPM","size","size"
"aaaa98","P","P = s * g * d_size","CC","size","size"
"aaaa98","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaaa99","K","K = P + F","IPM","size","size"
"aaaa99","P","P = s * g * d_size","CC","size","size"
"aaaa99","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa100","K","K = P + F","IPM","size","size"
"aaa100","P","P = s * g * d_size","CC","size","size"
"aaa100","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa101","K","K = P + F","IPM","size","size"
"aaa101","P","P = s * g * d_size","CC","size","size"
"aaa101","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa102","K","K = P + F","IPM","size","size"
"aaa102","P","P = s * g * d_size","CC","size","size"
"aaa102","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa103","K","K = P + F","IPM","size","size"
"aaa103","P","P = s * g * d_size","CC","size","size"
"aaa103","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa104","K","K = P + F","IPM","size","size"
"aaa104","P","P = s * g * d_size","CC","size","size"
"aaa104","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa105","K","K = P + F","IPM","size","size"
"aaa105","P","P = s * g * d_size","CC","size","size"
"aaa105","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa106","K","K = P + F","IPM","size","size"
"aaa106","P","P = s * g * d_size","CC","size","size"
"aaa106","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa107","K","K = P + F","IPM","size","size"
"aaa107","P","P = s * g * d_size","CC","size","size"
"aaa107","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa108","K","K = P + F","IPM","size","size"
"aaa108","P","P = s * g * d_size","CC","size","size"
"aaa108","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa109","K","K = P + F","IPM","size","size"
"aaa109","P","P = s * g * d_size","CC","size","size"
"aaa109","F","F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size","CC","size","size"
"aaa110","K","K = P + F","IPM","size","size"
"aaa110","P","P = s * g * d_size","CC","size","size"
