"ipm_id"	"state_variable"	"domain"	"lower"	"upper"	"kernel_id"	"notes"
"aaa169"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa170"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa171"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa172"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa173"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa174"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa175"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa176"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa177"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa178"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa179"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa180"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa181"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa182"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa183"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa184"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa185"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa186"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa187"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa188"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa189"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa190"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa191"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa192"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa193"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa194"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa195"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa196"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa197"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa198"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa199"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa200"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa201"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa202"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa203"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa204"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa205"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa206"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa207"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa208"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa209"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa210"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa211"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa212"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa213"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa214"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa215"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa216"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa217"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa218"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa219"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa220"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa221"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa222"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa223"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa224"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa225"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa226"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa227"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa228"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa229"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa230"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa231"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa232"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa233"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa234"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa235"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa236"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa237"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa238"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa239"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa240"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa241"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa242"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa243"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa244"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa245"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa246"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa247"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa248"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa249"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa250"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa251"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa252"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa253"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa254"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa255"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa256"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa257"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa258"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa259"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa260"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa261"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa262"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa263"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa264"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa265"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa266"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa267"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa268"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa269"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa270"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa271"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa272"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa273"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa274"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa275"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa276"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa277"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa278"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa279"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa280"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa281"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa282"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa283"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa284"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa285"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa286"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa287"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa288"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa289"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa290"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa291"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa292"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa293"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa294"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa295"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa296"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa297"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa298"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa299"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa300"	"size"	"size_all"	2	55	"K; P; F"	NA
