"ipm_id","state_variable","domain","n_meshpoints","integration_rule","kernel_id"
"bbbbb8","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbbb9","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb10","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb11","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb12","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb13","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb14","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb15","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb16","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb17","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb18","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb19","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb20","dbh","all_dbh",1500,"trapezoidal","K; P; F"
"bbbb21","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb22","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb23","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb24","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb25","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb26","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb27","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb28","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb29","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb30","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb31","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb32","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
"bbbb33","size","all_size",100,"midpoint","K_yr; P_yr; F_yr; C_yr; B1_yr"
